"","beta","Std. Error","z value","Pr(>|z|)","Feature","p.adj"
"PPEF1",0.575283209616812,0.0251734666833588,22.852760680638,1.371879002605e-115,"PPEF1",2.74375800520999e-111
"FGF11",0.574659501012034,0.0295959135554707,19.4168529359625,5.55940470876281e-84,"FGF11",1.11188094175256e-79
"ATXN3.5",0.572120566716607,0.0260726684369554,21.9433069576294,1.00334566817964e-106,"ATXN3.5",2.00669133635929e-102
"ZNF585A.3",0.571911874691638,0.0258715461689357,22.1058251005632,2.7781072018477e-108,"ZNF585A.3",5.5562144036954e-104
"C10orf26",0.570812874977971,0.0257817516538913,22.1401897993932,1.29689413850601e-108,"C10orf26",2.59378827701202e-104
"CDC16.1",0.567991405658931,0.0220153919420596,25.7997407974284,8.92667086967955e-147,"CDC16.1",1.78533417393591e-142
"C12orf26",0.567945509118242,0.0253201300918113,22.4305920648457,1.9798483758953e-111,"C12orf26",3.9596967517906e-107
"ARNT.1",0.567203571431678,0.0290212025604895,19.544454446691,4.5988173540364e-85,"ARNT.1",9.19763470807281e-81
"PRPF40B",0.566356368737577,0.0271500233456042,20.8602534711733,1.23017880852512e-96,"PRPF40B",2.46035761705025e-92
"ADNP.1",0.563876674321468,0.0274796609114757,20.5197828364028,1.43351292180791e-93,"ADNP.1",2.86702584361583e-89
"MTX3",0.563462002127145,0.025226406894571,22.3361973221961,1.6446218298037e-110,"MTX3",3.28924365960739e-106
"GJC1.1",0.563446876149355,0.0274562760460947,20.5216058872448,1.38075345039489e-93,"GJC1.1",2.76150690078978e-89
"TTC37.1",0.563367313391856,0.0260060538048273,21.6629296247662,4.5909004869283e-104,"TTC37.1",9.18180097385661e-100
"SREK1.1",0.563337745225981,0.0267174184210178,21.0850365985517,1.09129290745817e-98,"SREK1.1",2.18258581491635e-94
"PLCG1",0.559475923156443,0.0284912946398799,19.6367322098917,7.50764660575342e-86,"PLCG1",1.50152932115068e-81
"JMJD1C.1",0.559225273619088,0.0244349762078401,22.8862622522079,6.36708977105274e-116,"JMJD1C.1",1.27341795421055e-111
"RIC3",0.558339039886291,0.0261098809544792,21.3842047330556,1.87455155267985e-101,"RIC3",3.7491031053597e-97
"TSHZ2.5",0.55754792433549,0.028255651367805,19.7322623031359,1.13954818029105e-86,"TSHZ2.5",2.2790963605821e-82
"PSME4.2",0.557284006488946,0.0270505423507378,20.6015834826227,2.65614558643386e-94,"PSME4.2",5.31229117286772e-90
"APBB2.3",0.555929345509581,0.0191988897497237,28.9563278271121,2.33597011110427e-184,"APBB2.3",4.67194022220854e-180
"LOC100190939.4",0.553883213043974,0.0238468866022196,23.2266468274487,2.45009785892306e-119,"LOC100190939.4",4.90019571784612e-115
"ZNF585A",0.553146866595511,0.0265340181329282,20.8467056826598,1.63284644027655e-96,"ZNF585A",3.26569288055309e-92
"VSTM2L",0.551816703885572,0.0208700968156102,26.4405435566944,4.68711513084482e-154,"VSTM2L",9.37423026168963e-150
"SNTB2.4",0.551350505633692,0.0226271018950942,24.3668194093045,3.84591759206193e-131,"SNTB2.4",7.69183518412386e-127
"MPP5",0.550947952122141,0.022928570700451,24.0288834101335,1.38807153975867e-127,"MPP5",2.77614307951734e-123
"PAK4",0.550042217248767,0.0272507360736599,20.1844902743904,1.34002607330481e-90,"PAK4",2.68005214660962e-86
"NCRNA00275.1",0.550002609448203,0.0250353811149971,21.9690128511258,5.69937485097847e-107,"NCRNA00275.1",1.13987497019569e-102
"DCUN1D2",0.54992230369707,0.0239927656880366,22.920338190577,2.91307392354275e-116,"DCUN1D2",5.82614784708549e-112
"FAM48A.3",0.549471802038097,0.0263929554401628,20.8188811322718,2.91922278763406e-96,"FAM48A.3",5.83844557526811e-92
"ACOX3",0.547122114131963,0.0217852196427229,25.1143721800723,3.46485945414248e-139,"ACOX3",6.92971890828497e-135
"ZNF146.1",0.546908317182104,0.025869765378853,21.1408301997655,3.35130811339684e-99,"ZNF146.1",6.70261622679369e-95
"LHPP",0.546516469994599,0.0266305342697979,20.5221744504921,1.364698821955e-93,"LHPP",2.72939764391e-89
"WDR41.1",0.546207930107821,0.0271352993893622,20.1290548620941,4.10754246546143e-90,"WDR41.1",8.21508493092287e-86
